# Source: yefeijiang/Chinese-characters-code-table (https://github.com/yefeijiang/Chinese-characters-code-table)
1	一	999
11	二	79
111	三	830
1111	亖	79
111154	弐	398
111154	弎	71
1112	丰	80
11121112511	彗	71
111211125114334	熭	286
111211125114544	慧	455
111213251	砉	61
11121325122	剨	474
1112145	匤	470
111215	匡	77
11121552	邼	100
11121553	劻	77
111221112521251431	豐	127
1112211125212514311215425221	豔	126
111221112521251431134425221	豓	126
111221112521251431355215	艷	186
1112211125212514314351523	豒	127
11122111252125143152	酆	54
111234	耒	59
11123411212511134	耫	199
1112341122125211	耩	59
1112341132	耕	63
1112341154	耘	59
11123412	耓	200
11123412212511	耤	59
1112341223241112154	耯	199
1112341224553	耢	59
1112341311534124	耨	59
111234132511134	頛	56
111234132511454544354	耰	59
1112341515	耟	200
1112342343	耖	59
11123424325251	耥	200
11123425111	耝	59
1112342511153	耡	59
11123425112512531	耬	199
111234251125214	耦	59
11123425151	耜	59
1112343115	耗	59
111234341251	耠	59
11123434125122	耣	200
1112344125221241343534	耲	59
1112344131234123413251	耱	59
1112344143454153	耪	59
111234431234531	耧	59
111234433443344553	耮	199
111234521	耔	59
1112345215	耙	59
11123453251	耞	59
11123453254	耚	200
11123454251	耛	200
111234554554134534	耭	199
1112355215	艳	58
111251113454	貳	124
1112531234	栔	67
111253134	契	449
111253212134341343452	齧	12
111253251214	蛪	159
1112532534	洯	313
1112533112	挈	69
1112533535112	觢	141
111253454	贰	56
1112534544	恝	70
111253554234	絜	60
1113124	寿	74
11131244444	焘	63
11132515215	邫	100
11134112	奉	319
111341134	奏	303
1113424134	泰	65
111342511	春	68
111342511251214251214	蠢	70
1113425114544	惷	387
1113431234	秦	61
11134321511	舂	58
111343215114544	憃	70
111352	邦	173
111352252	帮	71
11135232511252	幚	402
11154	弍	71
112	于	947
112	干	671
112	亍	79
1121	王	692
11211112	玤	63
112111134112	琫	63
1121111342511	瑃	63
11211113431234	瑧	63
1121112	玕	63
1121112	玗	63
11211121	玨	275
11211121112145434	璱	63
112111211234	琹	271
112111211535	琵	63
112111212154	珷	63
1121112134	珡	63
112111213445	琴	422
112111214	珏	63
1121112145434	瑟	422
112111215215	琶	63
11211121533134	璈	63
1121112155414	瑇	271
11211132454	琎	63
11211134	玞	63
1121113411342511134	瓉	268
11211135	玩	523
11211152	玮	63
112112	玎	63
1121121	玒	63
1121121121	珪	63
11211211254444	瑪	270
1121121252212511134	瓄	268
112112132511	琽	271
1121121335	珯	273
112112151211251124	璹	268
1121121512112511244444	瓙	267
112112154	珐	63
112112211	玵	274
1121122111	珥	63
112112211134	琪	63
112112211134121	璂	269
112112211152	瑘	270
11211221122112	璍	269
11211221215425221	瓂	268
112112212511121	瑾	63
112112212512134	璜	63
112112212523434	璊	269
1121122134	珙	63
112112215	玴	274
1121122155125121	璢	269
112112225125132411121	瓘	63
112112225134	瑛	63
11211223123453	璓	269
11211223241112154	瓁	63
11211223411234	瑹	270
1121122352513134	璥	63
11211224312511	瑨	63
11211225111134	瑱	63
1121122513511	瑚	210
112112341234	琳	63
11211234123452134	璴	268
11211241344	球	651
11211241352211535	麉	17
11211251112454	璉	269
112112511214124	瑼	270
1121125112144544	璤	269
1121125112441533134	璷	268
112112511534	琙	272
112112512	珂	63
11211251234352511134	瓎	268
11211251251	珸	273
112112512531425221	璼	268
11211252211234	瑮	270
1121125431234	瑓	271
1121131251534	瑊	271
1121131534	珬	273
1121132	弄	538
11211324	环	445
1121132511	珛	63
1121132511134	頊	56
1121132511454544354	瓇	268
1121132521	珔	63
1121132522134	瑌	271
1121132534	顼	52
11211331234312342121	瓑	268
112113412512	琦	63
112113434234	琜	272
1121134432511234	璙	269
112113533434	琢	360
112113534	珑	63
1121135534	珹	63
112114312	玶	63
112114524444132522	瓀	63
1121151	玙	63
11211512454	琏	63
11211523	玡	63
1121152352	琊	63
112115341534	琖	63
11211535	玭	63
1121153532511	瑎	271
11211554	珁	274
112121112111	琲	63
1121211212	鬥	38
1121211212122134	鬨	37
11212112121251431124	鬪	37
11212112122151525151213312	鬭	37
112121121232151135	鬩	37
11212112123251253415511511	鬮	37
1121211212351255151213312	鬬	51
112121121241252	鬧	37
11212112124412	鬦	38
112121121251221113134	鬫	51
112121123454	琡	272
1121212135	玼	63
112121251	玷	63
112121251112	琸	271
11212135454431234	璨	63
112121451343425111	璿	268
112121531512512543121344	瓛	63
11212153151353334	璩	63
11212153152512125221	瓐	268
112121531535	琥	212
11212154	武	66
1121215421531535	虣	57
1121215432511154444	鵡	24
1121215435451	鹉	51
1121224314311134	璞	63
1121243135	珖	63
11212432511	琑	272
11212432511134	瑣	270
11212432534	琐	63
11212434525125121	璫	268
112124345251252	瑺	270
1121243511	珰	63
11212511	青	614
112125111	珇	63
11212511121	珵	63
1121251112134	瑅	271
11212511134	珼	273
11212511134	責	124
112125111342511134531	瓔	268
1121251113453	勣	471
11212511135	現	273
1121251113533	瑒	271
112125111535	琨	63
112125112	玾	274
112125112	珅	63
11212511211	理	856
11212511243135	靗	60
112125112511	琩	272
1121251125111	瑁	63
112125112511135	靚	60
1121251125221	瑥	270
112125112535	靓	52
1121251131121	瑆	271
112125113115	靔	52
112125113115431234	靝	60
1121251132511154444	鶄	23
1121251134435112	靜	60
11212511355112	静	470
11212511355215	靘	60
1121251141251234	璟	63
112125114134	琝	63
1121251144512134	靛	52
1121251152	郬	99
11212512121354251	璐	63
1121251212511134	璝	63
1121251212512125121	瓃	268
11212512134	珿	272
1121251213432	琾	271
112125122134	琠	63
11212512511	琄	272
11212512512511234	璪	63
1121251341	珚	63
11212521	靑	52
112125211	珃	63
1121252132522	瑞	314
11212522112513534	環	268
11212522125111345	匵	77
112125232411121	璀	63
1121252324111212534251	瓗	267
11212523445	琌	272
11212534	责	390
112125342534531	璎	63
11212535	现	911
11213112	玝	275
112131121	珄	274
1121311222214444	璑	269
1121311234	珠	214
11213112342511134	璳	268
1121311252	珤	273
1121312135	珗	273
11213121353121352511134	瓚	267
11213121353121352534	瓒	63
11213121534	珴	273
1121312154	珽	63
11213123422	琍	272
1121312343533424134	瓈	268
11213123453	琇	63
11213134	玫	63
11213152134	琁	63
11213155414	珻	63
1121321113554	瑖	270
11213211152511134	璵	268
112132154	玳	63
1121322	玔	63
112132411121	琟	272
112132411121454	璡	269
112132511	珀	211
1121325111121	瑝	270
11213251113251	碧	400
112132511134	頇	56
112132511154444	鳿	26
1121325112534	瑔	63
112132511312	琕	272
1121325113554	瑰	63
11213251141533134	璬	63
11213251154444	瑦	270
1121325115545541234	瓅	268
1121325125214	瑀	63
11213251511252	瑡	270
1121325251	珦	63
112132534	顸	52
112132535414544	璁	63
1121331233122511134	瓆	268
1121332112	珩	63
112133234342134	瑽	270
1121335414	珘	273
112134	玐	275
112134	兲	78
112134112431	琻	271
1121341251	珨	273
1121341251122	瑜	63
11213412524312511	璯	268
11213413252	琋	272
1121341534	珧	63
1121343123425121	璠	63
11213432	玠	63
112134333	珍	63
1121344311354	瑗	63
11213443311252	瑶	63
11213443321511	瑫	270
11213443451354	瑷	63
11213443454544354	璦	269
11213443521	琈	63
11213445	玪	274
11213445113251	瑲	270
11213445251	琀	63
112134454	玲	63
11213453	玢	63
11213454	玜	275
11213455	玱	63
112135	玑	63
11213511	玥	63
112135121251	琱	63
1121351252	珮	273
1121351354	珟	273
112135152511	琘	272
112135234	珎	274
112135251	玽	274
1121352511	珣	63
1121352534134	瑍	271
112135253425111354	瓊	268
11213531341344	獒	63
11213534	表	796
112135351	珊	211
112135352	珋	63
1121354	玓	63
1121354	玖	63
1121354	麦	16
11213541	玬	274
11213541112	琒	272
11213541134	麸	80
1121354132522111	麺	51
1121354251	珞	63
112135435431234	麹	51
11213544311252	瑤	270
11213545325121	瑠	270
1121355112	琤	63
112135515	玸	274
11214	玉	63
11214	玊	63
11214111251	琂	272
11214124	玣	275
112141251234	琼	63
112141251251112213534	瓖	63
11214125221241343534	瓌	268
11214125251125111	璮	63
11214134	玟	63
112141341121	斑	276
11214134333	珳	63
1121413434	珓	63
112141343412	琗	272
11214134522554	璃	63
11214135112251	瑭	63
112141431251	琣	272
112141431251112	璋	63
112141431251121515111	瓏	268
112141431251135	璄	269
112141432512251454	瓋	268
112141432533543211	璾	268
112141533152134	璇	63
11214154325	琉	63
1121415435	珫	273
112141554	玹	63
1121431112	珜	273
1121431113121	瑳	63
11214311135	琷	271
1121431121	班	63
1121431234354152	璘	63
1121431251122	瑐	271
1121431353334454	璲	63
1121432524312511	璔	269
112143344334	琰	63
11214351523	珶	63
112144112154	琺	271
112144115151234	璖	269
1121443531	珱	273
112144511234	琮	63
11214451135	琓	272
112144512134	琔	272
112144512332511134	璸	63
1121445125111	瑄	63
112144512512134	璌	269
112144525151	琯	63
11214453212134	瑸	270
1121445341523	瑏	63
11214453434251	瑢	63
112144535455	琬	63
11214511534	琅	63
112145115452	瑯	270
1121451251112	琿	271
1121451251112454	璭	268
1121451512	珲	63
112145341234	琛	63
1121454	迋	55
112145434	珌	63
11215	玌	275
11215	匞	77
1121511112	珒	63
1121511121251124	璕	269
112151121444425221	璶	268
112151122511125431234	瓓	268
11215112321155212	璛	269
112151124134	琭	63
11215113251	珺	63
1121511534	珢	273
1121512115154	瑕	63
112151312251	琚	63
11215134	玦	63
1121515	玘	63
112151515	珉	63
1121515152511	瑉	63
1121521251152	瑋	271
112152131212511454	瓍	268
1121521325111	瑂	63
112153	玏	275
112153251	玿	63
112153251	珈	63
112153254	玻	63
1121533	玚	275
1121533134	敖	68
11215331341211254444	驁	43
1121533134122111	聱	59
1121533134251	嗸	453
11215331342511134	贅	122
1121533134251214	螯	57
1121533134251251115151	鼇	14
1121533134252	嶅	72
11215331342534	赘	56
11215331343112	摮	69
112153313432511154444	鷔	21
112153313434112431	鏊	54
112153313435251211	鳌	51
112153313435251214444	鰲	31
11215331344111251	謷	56
11215331344444	熬	551
1121533134454	遨	54
1121533134531	嫯	423
1121533134551	骜	51
1121535353	珕	273
112154	式	575
112154	丟	500
1121541541	珝	63
112154154134333	璆	63
112154154141343412	璻	268
112154251	珆	274
1121543341251431	璒	269
11215435	玧	275
1121544251214	瑵	270
